ps seed,performance mean,ci lower,ci upper,performance_mean_sum
33,69.208782485,-87.34148349607,225.75904846607,1161902.0102774
39,6161.11348166,5745.968724575469,6576.25823874453,1054064.7030645001
45,0.0,0.0,0.0,802518.9861393
51,0.0,0.0,0.0,693805.9718941001
92,0.0,0.0,0.0,427892.167609
40,902.6519407600001,460.70279777673625,1344.601083743264,169225.82435920002
47,0.0,0.0,0.0,161011.2102008
35,0.0,0.0,0.0,156837.881226
76,409.86923109500003,291.62661168465104,528.111850505349,156418.2135897
95,85.55544805999999,41.7478832666985,129.36301285330148,155688.9937984
71,26.911278875,0.17675083619965193,53.64580691380035,154729.8629791
42,0.0,0.0,0.0,152935.38078870001
83,0.0,0.0,0.0,148596.32201519998
55,0.0,0.0,0.0,145642.72879879997
65,0.0,0.0,0.0,145398.56039429997
57,227.02907069499997,172.0315246135972,282.0266167764027,145229.69738579998
97,0.0,0.0,0.0,141081.29354749998
59,35.166848064999996,2.0531300384381694,68.28056609156182,140288.3774047
34,0.0,0.0,0.0,139915.4885558
80,0.0,0.0,0.0,139360.2069893
16,0.0,0.0,0.0,134015.2213259
63,0.0,0.0,0.0,133904.54990570003
64,0.0,0.0,0.0,132038.9609577
53,0.0,0.0,0.0,126832.832735
87,193.42650648,135.87501875391186,250.97799420608814,124337.3676764
25,0.0,0.0,0.0,123960.1404429
4,0.0,0.0,0.0,116861.36551159999
74,0.0,0.0,0.0,115186.637037
69,0.0,0.0,0.0,114441.0837625
89,0.0,0.0,0.0,110989.8622265
66,0.0,0.0,0.0,110787.5869287
2,0.0,0.0,0.0,108447.57591079999
19,0.0,0.0,0.0,108417.4030227
67,0.0,0.0,0.0,108122.3484399
62,0.0,0.0,0.0,106532.253164
94,0.0,0.0,0.0,105050.71891959998
26,0.0,0.0,0.0,97186.18138220001
32,0.0,0.0,0.0,91659.9611017
20,0.0,0.0,0.0,91351.0093292
1,0.0,0.0,0.0,89653.2105712
28,0.0,0.0,0.0,88579.8368323
27,0.0,0.0,0.0,80769.8522987
96,0.0,0.0,0.0,78375.2401703
54,0.0,0.0,0.0,72603.4792421
84,0.0,0.0,0.0,62405.916869
81,0.0,0.0,0.0,61909.2344076
23,0.0,0.0,0.0,60300.0246159
38,0.0,0.0,0.0,57242.7801441
7,0.0,0.0,0.0,52965.733021199994
18,0.0,0.0,0.0,48717.8999794
14,0.0,0.0,0.0,48020.130186
37,0.0,0.0,0.0,43674.8962863
61,0.0,0.0,0.0,41973.049975199996
68,0.0,0.0,0.0,41264.477092999994
31,0.0,0.0,0.0,30979.099617099997
6,0.0,0.0,0.0,26103.7877593
15,0.0,0.0,0.0,24624.7705722
50,0.0,0.0,0.0,22798.213653400002
17,0.0,0.0,0.0,14508.301753200001
90,0.0,0.0,0.0,14392.853104799999
44,0.0,0.0,0.0,12423.613925
43,0.0,0.0,0.0,11093.1885129
36,0.0,0.0,0.0,10593.1572915
48,0.0,0.0,0.0,9908.2330252
22,0.0,0.0,0.0,6056.2583896999995
3,0.0,0.0,0.0,3432.4469471
58,0.0,0.0,0.0,2194.5263199
0,0.0,0.0,0.0,1874.3753986000083
88,0.0,0.0,0.0,1013.8000579
79,0.0,0.0,0.0,-2313.3102252999993
86,0.0,0.0,0.0,-5047.9143736999995
93,0.0,0.0,0.0,-5785.7568711
60,0.0,0.0,0.0,-6877.5038265
8,0.0,0.0,0.0,-9779.6247191
77,0.0,0.0,0.0,-11048.1896152
73,0.0,0.0,0.0,-11099.3769215
56,0.0,0.0,0.0,-15566.5226694
72,0.0,0.0,0.0,-18366.7576485
41,0.0,0.0,0.0,-19326.1799255
99,0.0,0.0,0.0,-40842.3685165
29,0.0,0.0,0.0,-43258.030094600006
70,0.0,0.0,0.0,-52468.551026
30,0.0,0.0,0.0,-53734.863225500005
82,0.0,0.0,0.0,-56582.2846273
91,0.0,0.0,0.0,-93207.8732334
21,0.0,0.0,0.0,-95839.02905889999
24,0.0,0.0,0.0,-96601.90193999998
12,0.0,0.0,0.0,-135558.79989760002
5,0.0,0.0,0.0,-160556.32279150002
13,0.0,0.0,0.0,-307531.3195968
46,0.0,0.0,0.0,-362385.5138233
78,0.0,0.0,0.0,-1494468.0186347999
52,0.0,0.0,0.0,-3996753.5462211
98,0.0,0.0,0.0,-8863231.4745646
49,0.0,0.0,0.0,-27634416.6404293
