ps seed,performance mean,ci lower,ci upper,performance_mean_sum
21,-0.359339645,-0.4164390829063905,-0.3022402070936095,-95.1606742
2,-0.37150275,-0.4283779790777967,-0.3146275209222033,-101.8369941
22,-0.38146338,-0.44700993842340897,-0.31591682157659107,-101.900631
33,-0.390234965,-0.4575478067014708,-0.32292212329852915,-102.17013850000001
43,-0.41724291999999996,-0.49012466861343945,-0.34436117138656047,-110.0366286
50,-0.4404241700000001,-0.5149798836972621,-0.3658684563027382,-115.04018429999999
7,-0.41974103500000004,-0.5110553236707348,-0.3284267463292653,-115.22267020000001
9,-0.40681850499999994,-0.47132555306862844,-0.34231145693137144,-115.4823825
19,-0.46165335,-0.5532419504165237,-0.37006474958347635,-116.91556179999998
12,-0.40807939499999996,-0.46793288498251157,-0.34822590501748835,-117.0258081
65,-0.461024325,-0.5423646379168132,-0.37968401208318686,-122.291139
41,-0.417914405,-0.48578262779514636,-0.3500461822048536,-123.31188329999999
34,-0.45820063999999994,-0.5364999154318751,-0.37990136456812473,-124.46628319999999
40,-0.44970479999999996,-0.527057986919043,-0.3723516130809569,-126.77045120000001
60,-0.472868965,-0.5549321970099379,-0.39080573299006205,-127.1072442
16,-0.501948645,-0.5930018724146435,-0.4108954175853565,-135.70495870000002
11,-0.49201286499999997,-0.5762455422603951,-0.4077801877396048,-144.4924626
51,-0.542735755,-0.642182767485623,-0.4432887425143771,-147.153581
18,-0.49883629499999993,-0.5959097819791543,-0.4017628080208455,-148.7902967
68,-0.5255903550000001,-0.6139035564040707,-0.43727715359592945,-148.9476197
30,-0.46804131500000007,-0.5487172901739252,-0.3873653398260749,-150.4585258
17,-0.5397999149999999,-0.6287782972899968,-0.450821532710003,-152.54730360000002
28,-0.498273885,-0.61658082197141,-0.37996694802859016,-155.9272081
13,-0.597162065,-0.7072810027275764,-0.48704312727242355,-170.91262319999998
57,-0.54940474,-0.6474203440898081,-0.4513891359101918,-171.973897
29,-0.63316627,-0.7546236988288879,-0.5117088411711121,-195.5965036
54,-0.674318325,-0.8116869465979495,-0.5369497034020505,-195.8042559
63,-0.64251042,-0.7759567998425968,-0.5090640401574033,-202.137122
3,-0.601196935,-0.7190269809495111,-0.483366889050489,-213.9282021
62,-0.51231911,-0.6030302775827165,-0.42160794241728333,-216.5483378
35,-0.686800425,-0.8588970613729484,-0.5147037886270517,-230.16269880000002
14,-0.485823145,-0.5704620286884459,-0.4011842613115542,-233.41488660000002
10,-0.579936775,-0.7008049448330502,-0.45906860516694975,-234.29792630000003
59,-0.65020359,-0.7734391104812434,-0.5269680695187567,-239.3175013
6,-0.53655516,-0.6288305045367604,-0.44427981546323964,-242.7344711
39,-1.3134216250000001,-3.2557097363373515,0.6288664863373512,-264.72988180000004
25,-0.51473145,-0.615671814228227,-0.4137910857717729,-295.4535341
0,-1.5721697749999999,-4.072595537394346,0.9282559873943463,-331.0193948
26,-1.4376363349999999,-3.2611988361808004,0.3859261661808009,-342.5168378
37,-0.60148051,-0.7213759797354293,-0.4815850402645708,-350.18257560000006
56,-0.6048731999999999,-0.7250767129559257,-0.4846696870440741,-422.2739533
5,-1.7971278899999998,-3.924940369170816,0.3306845891708161,-438.2410344
58,-1.337928475,-2.9058519352185073,0.22999498521850703,-548.6534071000001
1,-2.36975972,-4.503701745778651,-0.23581769422134924,-590.6028446
32,-2.542919535,-5.758360692000862,0.6725216220008616,-804.6053565
69,-3.5262834250000004,-7.026681039140125,-0.025885810859875846,-810.4471073
15,-1.2501888099999998,-2.849085749943363,0.3487081299433632,-1041.0380988
38,-3.91013442,-7.067200746684787,-0.7530680933152127,-1075.3568235
53,-4.0677398600000005,-7.067008045819944,-1.0684716741800573,-1172.1069499999999
36,-4.55988356,-8.252331381782605,-0.8674357382173952,-1202.3691986
23,-5.684063415000001,-8.751543312571247,-2.616583517428754,-1342.1267947000001
27,-7.123644779999999,-10.644176668447438,-3.603112891552561,-1531.2507931
55,-6.58409113,-10.071692059102858,-3.0964902008971418,-1549.3167334999998
8,-9.756014564999997,-18.53879849963738,-0.9732306303626146,-1750.1604132000002
74,-9.120982495000002,-12.018377700071863,-6.223587289928141,-1823.2449075
42,-9.026066005,-13.553897112844632,-4.498234897155369,-1841.2427073999997
31,-9.021430755,-11.650567332350178,-6.392294177649823,-1872.5367503
20,-10.051347027777776,-13.108840861865957,-6.993853193689596,-2016.5717807777778
4,-9.429851645000001,-11.382649687656215,-7.477053602343786,-2053.3951493
24,-10.54666424,-12.495338665622624,-8.597989814377376,-2194.6527183
