ps seed,performance mean,ci lower,ci upper,performance_mean_sum
43,-0.2890206350000001,-0.3505203069551645,-0.22752096304483563,-100.174477
17,-0.29035630500000004,-0.3515180765894913,-0.22919453341050877,-104.2081748
9,-0.30516263,-0.36915376219990037,-0.2411714978000996,-111.2345991
3,-0.313003225,-0.3761931231570349,-0.2498133268429651,-112.4357249
67,-0.3297676850000001,-0.3918817322463755,-0.26765363775362466,-129.55885429999998
89,-0.31964738,-0.38711069176009355,-0.2521840682399064,-131.8699234
23,-0.33103476000000004,-0.3949456453465556,-0.2671238746534445,-136.9227571
81,-0.292835245,-0.3537471394365616,-0.23192335056343844,-143.5983265
31,-0.366159965,-0.428946307782103,-0.30337362221789693,-145.26852839999998
84,-0.31672162,-0.3768605004254588,-0.25658273957454114,-151.79745839999998
65,-0.332197705,-0.3979705667195899,-0.2664248432804101,-153.6974521
45,-0.30849637,-0.3699258664723091,-0.247066873527691,-153.8172268
34,-0.33204917999999994,-0.394126616282569,-0.2699717437174309,-162.4914805
94,-0.33553380000000005,-0.39856947829811773,-0.27249812170188237,-163.6736421
62,-0.33726822,-0.39738225069989985,-0.27715418930010016,-165.4289001
16,-0.32000766,-0.3836390319674536,-0.2563762880325465,-165.90690030000002
69,-0.327409355,-0.3895275991032528,-0.26529111089674723,-171.24819669999997
18,-0.31711304,-0.3780934574845815,-0.2561326225154185,-174.10316129999998
36,-0.34075563000000003,-0.4027274576485542,-0.27878380235144584,-175.8399475
74,-0.31205059,-0.3749140395785448,-0.24918714042145523,-175.8709261
10,-0.316507505,-0.3814001921927582,-0.2516148178072418,-180.73210319999998
80,-0.31607976000000004,-0.38011325489831854,-0.25204626510168154,-187.8598719
42,-0.327359745,-0.3928282330094098,-0.2618912569905902,-188.16832380000002
32,-0.307898895,-0.370639393365882,-0.24515839663411804,-188.9314812
87,-0.34915500000000005,-0.4103582556928818,-0.2879517443071183,-196.175912
40,-0.36202703999999997,-0.42876255039670447,-0.29529152960329547,-196.78531279999999
55,-0.364256545,-0.42574271778672024,-0.30277037221327974,-207.804705
52,-0.38260384,-0.45245535798282743,-0.3127523220171725,-208.013074
47,-0.35469895000000007,-0.4167547150926841,-0.29264318490731606,-208.0413644
8,-0.49360164500000003,-0.7920340949460498,-0.1951691950539503,-219.8962966
28,-0.30762662500000004,-0.3707874636722732,-0.24446578632772684,-221.56723620000002
25,-0.31939533499999995,-0.3810387250630075,-0.2577519449369924,-223.02836080000003
38,-0.40687756999999997,-0.5751835793004906,-0.23857156069950938,-227.86188329999996
35,-0.35895797999999995,-0.4207394112565424,-0.2971765487434575,-242.16967739999998
92,-0.7911903799999999,-1.495391052691199,-0.08698970730880062,-250.8696957
27,-0.352756635,-0.4161325448836194,-0.2893807251163806,-254.5809075
61,-0.369166965,-0.4331501605041831,-0.30518376949581694,-259.1662733
71,-0.33460389,-0.39417329291487374,-0.2750344870851263,-262.0719698
4,-0.51839706,-0.7980324798317171,-0.23876164016828283,-287.3725312
39,-0.37620221499999995,-0.444416247316607,-0.3079881826833929,-291.1014086
7,-0.60586297,-0.8226160044720282,-0.3891099355279718,-296.81829139999996
58,-1.476137295,-1.529506107696295,-1.422768482303705,-344.1881399
44,-1.3947623,-1.516625991185966,-1.272898608814034,-356.21277769999995
86,-1.4710415549999998,-1.5222226873602953,-1.4198604226397042,-357.1846414
48,-1.388602225,-1.4567197131622773,-1.3204847368377228,-373.7658614
83,-0.37222684,-0.43297663753535853,-0.3114770424646415,-382.00385360000007
50,-1.520760295,-1.5711207753689518,-1.4703998146310484,-403.6313441
56,-1.4991666199999998,-1.5537198501970813,-1.4446133898029183,-411.8374885
22,-1.4425933050000002,-1.6213382049776022,-1.2638484050223981,-412.15992869999997
60,-1.603599055,-1.6665252081667252,-1.540672901833275,-446.10381259999997
88,-1.6822743300000003,-1.8266640402932217,-1.5378846197067788,-447.8520694
93,-1.28132725,-3.2615642868252026,0.6989097868252028,-462.4241827000001
37,-1.1535253400000003,-1.9202801367070053,-0.38677054329299543,-478.16065290000006
19,-2.8652569249999997,-8.528408160759726,2.7978943107597267,-484.8701973
51,-0.46955519,-0.5851391350943347,-0.35397124490566534,-494.9647175
53,-1.8164539250000005,-5.200054304410406,1.5671464544104048,-499.46058150000005
14,-1.9298988000000001,-5.448604187362832,1.5888065873628325,-523.6621991
6,-2.263281135,-2.5211214576860126,-2.0054408123139877,-531.372158
95,-0.9947606999999999,-2.4596407671205465,0.47011936712054647,-536.41137
64,-1.47335936,-3.4049872466119746,0.45826852661197504,-547.4572391
76,-1.33457301,-3.4319125003038176,0.7627664803038179,-548.1631327
79,-1.6958991600000004,-1.7931941669885192,-1.5986041530114816,-567.1645343
63,-2.1408512550000003,-5.867007981600556,1.585305471600555,-569.6886770000001
