ps seed,performance mean,ci lower,ci upper,performance_mean_sum
21,-0.47343619004975124,-0.5635275973832439,-0.3833447827162586,-95.1606742
2,-0.5066517119402985,-0.5870066774421152,-0.4262967464384817,-101.8369941
22,-0.5069683134328359,-0.5975795803836209,-0.41635704648205085,-101.900631
33,-0.5083091467661692,-0.606440575498232,-0.4101777180341064,-102.17013850000001
43,-0.5474459134328358,-0.6677681486054786,-0.4271236782601929,-110.0366286
50,-0.5723392253731343,-0.6778201629200132,-0.4668582878262554,-115.04018429999999
7,-0.5732471154228856,-0.6948751387421039,-0.4516190921036674,-115.22267020000001
9,-0.5745392164179104,-0.6812765028184912,-0.46780193001732956,-115.4823825
19,-0.5816694616915422,-0.7096139082382538,-0.4537250151448306,-116.91556179999998
12,-0.5822179507462687,-0.6964160777317987,-0.4680198237607387,-117.0258081
65,-0.6084136268656717,-0.7171585943453199,-0.49966865938602345,-122.291139
41,-0.6134919567164179,-0.7309140004247163,-0.49606991300811937,-123.31188329999999
34,-0.619235239800995,-0.772029663967584,-0.4664408156344061,-124.46628319999999
40,-0.6306987621890547,-0.7527156689112018,-0.5086818554669077,-126.77045120000001
60,-0.6323743492537314,-0.7550261610366422,-0.5097225374708205,-127.1072442
16,-0.6751490482587066,-0.8129747868523407,-0.5373233096650725,-135.70495870000002
11,-0.7188679731343284,-0.8497726163487579,-0.5879633299198989,-144.4924626
51,-0.732107368159204,-0.8664132083598437,-0.5978015279585642,-147.153581
18,-0.7402502323383084,-0.913006596771861,-0.5674938679047559,-148.7902967
68,-0.7410329338308457,-0.8772249794309671,-0.6048408882307242,-148.9476197
30,-0.74854987960199,-0.9377326168880249,-0.5593671423159552,-150.4585258
17,-0.758941808955224,-1.0030519114291512,-0.5148317064812968,-152.54730360000002
28,-0.7757572542288558,-1.0068617912939246,-0.5446527171637869,-155.9272081
13,-0.8503115582089551,-1.0208543360378994,-0.6797687803800108,-170.91262319999998
57,-0.855591527363184,-1.0869942672891266,-0.6241887874372413,-171.973897
29,-0.9731169333333334,-1.1944332815332768,-0.7518005851333901,-195.5965036
54,-0.9741505268656716,-1.2168983201027237,-0.7314027336286195,-195.8042559
63,-1.0056573233830846,-1.286996552921313,-0.7243180938448562,-202.137122
3,-1.0643194134328358,-1.4401556951215833,-0.6884831317440883,-213.9282021
62,-1.0773549144278607,-1.8300982034668012,-0.3246116253889202,-216.5483378
35,-1.1450880537313433,-1.5668516266775974,-0.7233244807850892,-230.16269880000002
14,-1.1612680925373136,-1.9473144233648212,-0.3752217617098059,-233.41488660000002
10,-1.165661324875622,-1.4469269043819024,-0.8843957453693416,-234.29792630000003
59,-1.1906343348258706,-1.4591093792399965,-0.9221592904117445,-239.3175013
6,-1.2076341845771144,-1.5880538180214923,-0.8272145511327365,-242.7344711
39,-1.3170640885572142,-2.681625813098302,0.04749763598387324,-264.72988180000004
25,-1.4699180800995026,-2.1276575835740443,-0.8121785766249608,-295.4535341
0,-1.6468626606965173,-3.766887133184431,0.4731618117913967,-331.0193948
26,-1.7040638696517414,-3.5764972994263347,0.16836956012285187,-342.5168378
37,-1.7422018686567167,-2.541059121096304,-0.9433446162171296,-350.18257560000006
56,-2.1008654393034827,-2.9919121313674273,-1.209818747239538,-422.2739533
5,-2.180303653731343,-4.366511962195315,0.005904654732628245,-438.2410344
58,-2.7296189407960205,-4.91972035361909,-0.5395175279729507,-548.6534071000001
1,-2.938322609950249,-4.8001712999191595,-1.076473919981338,-590.6028446
32,-4.003011723880597,-7.410506924454664,-0.59551652330653,-804.6053565
69,-4.032075160696517,-7.533335128016651,-0.5308151933763834,-810.4471073
15,-5.179294023880597,-7.880045329011488,-2.478542718749705,-1041.0380988
38,-5.350033947761194,-8.38798135323874,-2.3120865422836476,-1075.3568235
53,-5.8313778606965165,-8.913062989044633,-2.7496927323483993,-1172.1069499999999
36,-5.9819363114427855,-9.294013208740683,-2.669859414144888,-1202.3691986
23,-6.677247734825872,-9.805755457670234,-3.5487400119815105,-1342.1267947000001
27,-7.618163149751243,-10.823323033289428,-4.4130032662130585,-1531.2507931
55,-7.708043450248756,-10.371344012585089,-5.044742887912422,-1549.3167334999998
8,-8.707265737313435,-15.834821615365652,-1.5797098592612189,-1750.1604132000002
74,-9.070870186567165,-11.864995071278475,-6.276745301855853,-1823.2449075
42,-9.160411479601988,-13.778540956388593,-4.542282002815383,-1841.2427073999997
31,-9.316103235323384,-12.015679304279658,-6.61652716636711,-1872.5367503
20,-10.032695426755113,-13.07938597287294,-6.986004880637287,-2016.5717807777778
4,-10.215896265174129,-12.10894169767596,-8.322850832672298,-2053.3951493
24,-10.918670240298507,-13.053374083229592,-8.783966397367422,-2194.6527183
