ps seed,performance mean,ci lower,ci upper,performance_mean_sum
28.0,4688.28919171,3430.713702239521,5945.864681180478,946629.4025933
,5128.726253445,3840.7635206324762,6416.688986257524,864098.326419
0.0,4689.701127819999,3437.113946865785,5942.288308774213,841581.8120691
46.0,2880.3376016800007,1389.874871960739,4370.800331399262,732381.6312807
18.0,3114.912364215,1362.9136838528627,4866.911044577137,681299.0367386
30.0,3550.8980317750006,1340.6964067427411,5761.0996568072605,644790.4448601
37.0,1348.3342982899999,-383.22128968344896,3079.8898862634487,604100.9270936002
39.0,2948.6736315649996,1609.0629659361407,4288.284297193859,596521.0322901
2.0,4892.564407445,3628.34571041239,6156.78310447761,566543.6935601
98.0,3325.8061154100005,2362.171151662413,4289.441079157588,555009.9755079
14.0,2458.8722053899996,1150.7986274675582,3766.945783312441,466542.1537896
44.0,1940.3547308449997,746.1351157405932,3134.574345949406,407334.7695599
23.0,2128.44709624,1371.3552652878316,2885.5389271921686,361374.6093969
36.0,1527.700801325,-339.6029665475676,3395.0045691975674,352508.8470051
79.0,1778.6249686200001,1208.8838173548297,2348.3661198851705,302976.24285329995
67.0,701.40495937,554.5733255101087,848.2365932298914,230346.99822279997
20.0,975.5236121549999,136.04073990835934,1815.0064844016406,215032.5273658
66.0,1097.0791733700003,947.2687571522483,1246.8895895877522,199154.7784217
48.0,934.5661039549999,879.6738673582289,989.4583405517709,188077.95592089999
19.0,926.373203995,874.582653348146,978.1637546418541,186961.6366176
5.0,898.2978926450002,813.6006087384825,982.9951765515178,186340.6467657
43.0,935.90327039,891.102127660146,980.7044131198539,186339.3274736
9.0,938.1096014750001,793.2786462908891,1082.940556659111,185782.7681219
16.0,924.4176369900002,846.9750269209144,1001.8602470590861,182614.03320140002
17.0,912.18810412,843.3468931346747,981.0293151053254,182316.61919169998
55.0,941.2331845599999,871.6102541438701,1010.8561149761298,181825.6262627
62.0,895.4118403250001,770.454183368682,1020.3694972813181,177245.2229711
57.0,843.5224798249999,707.00422917997,980.0407304700298,171808.7665196
3.0,887.5150084999999,804.7750486583975,970.2549683416023,171350.8119318
27.0,843.620047935,689.9423133478739,997.2977825221261,164867.7794297
13.0,595.8403468749999,308.35434588643403,883.3263478635658,125809.80962259999
29.0,397.49522283,67.08907602077994,727.9013696392201,100650.0038797
6.0,-848.8689092550001,-2574.462184788404,876.724366278404,-45075.30621580001
32.0,-446.2818252799999,-1005.4970258322668,112.93337527226697,-75661.46635579999
45.0,-866.4382933850002,-1268.1730444127606,-464.7035423572397,-150899.7088469
24.0,-873.842857475,-1489.8759314624062,-257.80978348759356,-174839.9295271
4.0,-1145.80490155,-1797.0320202605672,-494.5777828394331,-221787.88775320002
