ps seed,performance mean,ci lower,ci upper,performance_mean_sum
61.0,5941.18519193,5238.621306992905,6643.749076867094,1171608.884656
28.0,4456.746142065,3267.4584522965533,5646.033831833446,941998.5416004
,4887.249522875,3693.545674729112,6080.953371020889,859268.7918076001
0.0,4443.0130384449985,3258.836633432829,5627.189443457168,836648.0502816
46.0,2742.816986205001,1323.0937008716232,4162.540271538379,729631.2189712
30.0,3381.1526551300003,1277.388890425023,5484.916419834977,641395.5373272
37.0,1272.53194177,-377.1640206961479,2922.227904236148,602584.8799632001
39.0,2796.784108125,1532.6215072426583,4060.9467090073413,593483.2418213
40.0,3197.81910836,2046.6477808041889,4348.990435915811,468214.97842660005
53.0,1625.280331845,-310.1619422321419,3560.722605922142,427203.5679803
44.0,1848.1610039699997,707.1824498262197,2989.1395581137795,405490.89502239996
36.0,1444.6117275049999,-327.12503702288745,3216.3484920328874,350847.0655287
63.0,1952.0208675399997,1267.9498638824086,2636.091871197591,342530.113427
35.0,2160.8118397499998,1431.294658559937,2890.3290209400625,330201.7106956
1.0,1100.6184235599999,787.3496170712895,1413.8872300487103,220132.4536972
26.0,1043.9232536900004,776.5938032754386,1311.252704104562,217254.96786819998
38.0,1144.0702771,817.0105811300805,1471.1299730699197,213639.45940159998
41.0,1095.6161222250003,924.62874884555,1266.6034956044505,212325.14601199998
58.0,1082.41487708,732.3550757571095,1432.4746784028905,195694.0476553
48.0,887.4460810999999,834.9155535891459,939.9766086108539,187135.5554638
51.0,617.32996758,353.57287303332913,881.0870621266708,185983.4084483
43.0,887.799788995,843.7317556938283,931.8678222961717,185377.2578457
34.0,871.6360109899999,816.5124822224277,926.7595397575722,184728.51987860003
55.0,897.2765194199999,833.1648301215283,961.3882087184714,180946.4929599
62.0,847.12696053,729.8946890365776,964.3592320234225,176279.52537520003
64.0,837.3791106499999,750.1565487229789,924.601672577021,171831.86305420002
57.0,802.8922387749999,673.6131386238781,932.1713389261217,170996.1616986
54.0,844.6077098399999,741.0358906804864,948.1795289995133,170882.9883517
49.0,861.8795671849999,625.014190468291,1098.744943901709,170706.5242968
60.0,826.0883118899999,729.3404348017223,922.8361889782775,169053.9815213
42.0,667.4768544000001,324.6979590751912,1010.255749724809,166161.1776001
31.0,848.8964597649999,711.4667327358933,986.3261867941065,164608.0677764
65.0,803.69040903,712.403750851586,894.9770672084139,164096.9615059
27.0,795.7128355500001,649.4576822412423,941.967988858758,163909.635182
33.0,807.22783799,715.1535384720372,899.3021375079628,162792.10570379999
47.0,723.4599401399998,367.717745453845,1079.2021348261546,159702.0413508
50.0,827.776053525,718.9392967796107,936.6128102703892,156894.93988299998
29.0,378.64766736499996,67.86954386270799,689.4257908672919,100273.0527704
52.0,268.94469059999994,-183.78778203286055,721.6771632328605,74926.39121890001
32.0,-423.8083884649999,-956.3780405758898,108.76126364589004,-75211.9976195
56.0,-617.512251125,-1080.3393629156471,-154.68513933435298,-133319.7282226
45.0,-821.9124782050001,-1201.1488860704283,-442.6760703395718,-150009.19254329999
59.0,-1230.0413686949998,-1698.601227852648,-761.4815095373517,-167831.5529212
