ps seed,gamma,learning rate,tau,replay buffer size,batch size,performance mean,performance std,performance sem,ci lower,ci upper
61.0,0.9646,0.001092,0.0877,500000,512,5941.18519193,982.1848267805841,310.594113588459,5238.621306992905,6643.749076867094
,0.99,0.0003,0.01,1000000,256,4887.249522875,1668.7988558128957,527.7205341051672,3693.545674729112,6080.953371020889
28.0,0.9456,0.00337,0.0126,1000000,512,4456.746142065,1662.6250631600446,525.768209446705,3267.4584522965533,5646.033831833446
30.0,0.9286,0.002288,0.0663,1000000,256,3381.1526551300003,2941.0632870903078,930.0458729907061,1277.388890425023,5484.916419834977
40.0,0.8814,0.000337,0.0789,500000,64,3197.81910836,1609.3383608117233,508.91747460469105,2046.6477808041889,4348.990435915811
39.0,0.9092,0.004788,0.0821,1000000,512,2796.784108125,1767.300243850833,558.8694079939618,1532.6215072426583,4060.9467090073413
46.0,0.9565,0.003811,0.025,500000,512,2742.816986205001,1984.7741948853222,627.6407096964534,1323.0937008716232,4162.540271538379
35.0,0.8915,0.001854,0.0232,1000000,16,2160.8118397499998,1019.8655547242895,322.5098060079853,1431.294658559937,2890.3290209400625
63.0,0.9106,0.002381,0.0049,100000,16,1952.0208675399997,956.3317651792051,302.41865767355927,1267.9498638824086,2636.091871197591
44.0,0.9667,0.000633,0.0745,10000,16,1848.1610039699997,1595.088856100837,504.4113855631211,707.1824498262197,2989.1395581137795
53.0,0.9691,0.003369,0.0455,500000,16,1625.280331845,2705.7497196550094,855.6331892471892,-310.1619422321419,3560.722605922142
36.0,0.9455,0.003612,0.0952,500000,16,1444.6117275049999,2476.8892971554133,783.2611691104719,-327.12503702288745,3216.3484920328874
37.0,0.9886,0.002787,0.0194,500000,256,1272.53194177,2306.276166302685,729.3085598877753,-377.1640206961479,2922.227904236148
38.0,0.8768,0.005159,0.0944,500000,64,1144.0702771,457.2296950075769,144.5887250088062,817.0105811300805,1471.1299730699197
1.0,0.8833,0.004323,0.0001,1000000,64,1100.6184235599999,437.950021391185,138.4919568915608,787.3496170712895,1413.8872300487103
41.0,0.8501,0.000281,0.0677,1000000,64,1095.6161222250003,239.0404734786494,75.59123491576051,924.62874884555,1266.6034956044505
58.0,0.8729,0.00271,0.0497,1000000,16,1082.41487708,489.3838591716878,154.75676451056165,732.3550757571095,1432.4746784028905
26.0,0.8615,0.003119,0.0769,1000000,64,1043.9232536900004,373.7267678828731,118.1827809082943,776.5938032754386,1311.252704104562
55.0,0.8186,0.00583,0.0484,100000,64,897.2765194199999,89.62818869328594,28.342921882613428,833.1648301215283,961.3882087184714
43.0,0.823,0.003656,0.0134,10000,512,887.799788995,61.60714289825438,19.48188916939508,843.7317556938283,931.8678222961717
48.0,0.8035,0.00535,0.0286,10000,256,887.4460810999999,73.43771601433858,23.223044876593246,834.9155535891459,939.9766086108539
34.0,0.8077,0.004682,0.0094,10000,512,871.6360109899999,77.0627336743336,24.36937611298506,816.5124822224277,926.7595397575722
49.0,0.8601,0.001486,0.0926,500000,16,861.8795671849999,331.1379704945254,104.71502065283335,625.014190468291,1098.744943901709
31.0,0.8571,0.005749,0.0771,500000,16,848.8964597649999,192.12685925162796,60.75584749297376,711.4667327358933,986.3261867941065
62.0,0.8067,0.002937,0.0846,500000,64,847.12696053,163.8908015890558,51.82682205721594,729.8946890365776,964.3592320234225
54.0,0.8839,0.002183,0.0186,10000,16,844.6077098399999,144.79347920032214,45.78771846132336,741.0358906804864,948.1795289995133
64.0,0.8757,0.003405,0.0596,10000,512,837.3791106499999,121.93720558995214,38.559930118046445,750.1565487229789,924.601672577021
50.0,0.8988,0.001372,0.0256,10000,256,827.776053525,152.1538658095157,48.11527707576889,718.9392967796107,936.6128102703892
60.0,0.8601,0.001126,0.0324,10000,64,826.0883118899999,135.25360317638226,42.77094477819526,729.3404348017223,922.8361889782775
33.0,0.8496,0.002703,0.0412,100000,512,807.22783799,128.71993830296464,40.70481853137172,715.1535384720372,899.3021375079628
65.0,0.8437,0.000193,0.0288,10000,64,803.69040903,127.61881513219528,40.35661281096995,712.403750851586,894.9770672084139
57.0,0.8174,0.001387,0.0412,500000,16,802.8922387749999,180.73227689414816,57.15256416937304,673.6131386238781,932.1713389261217
27.0,0.885,0.004888,0.0736,100000,16,795.7128355500001,204.4648116678984,64.65745062279302,649.4576822412423,941.967988858758
47.0,0.8227,0.005847,0.0729,10000,512,723.4599401399998,497.32784926405736,157.26887475073158,367.717745453845,1079.2021348261546
42.0,0.8748,0.005705,0.0732,10000,16,667.4768544000001,479.2051472426343,151.5379731763081,324.6979590751912,1010.255749724809
51.0,0.9349,0.000273,0.0344,10000,64,617.32996758,368.732611757673,116.60349007368298,353.57287303332913,881.0870621266708
29.0,0.9725,0.001713,0.0074,10000,64,378.64766736499996,434.46804474816435,137.39085919641556,67.86954386270799,689.4257908672919
52.0,0.9644,0.000162,0.0212,10000,512,268.94469059999994,632.9203290184292,200.1469817121399,-183.78778203286055,721.6771632328605
32.0,0.9715,0.002239,0.0556,10000,512,-423.8083884649999,744.5327645242762,235.4419328518523,-956.3780405758898,108.76126364589004
56.0,0.9965,0.002004,0.0674,500000,256,-617.512251125,647.032641969857,204.60968691010038,-1080.3393629156471,-154.68513933435298
45.0,0.9975,0.0033,0.0282,100000,64,-821.9124782050001,530.1727765319838,167.6553527256535,-1201.1488860704283,-442.6760703395718
59.0,0.9845,0.000951,0.0867,100000,64,-1230.0413686949998,655.0470269964071,207.14405798304514,-1698.601227852648,-761.4815095373517
